order_id,customer_name,city,category,price,quantity,order_date,delivery_date,Gender
1,Sneha,Hyderabad,Electronics,7354.38,3,2023-06-12,2023-06-19,Female
2,SIMRAN,Hyderabad,Clothing,7296.51,2,2023-12-16,2023-12-24,Female
3,MEENA,Bangalore,Electronics,9368.72,2,2023-07-22,2023-07-29,F
4,POOJA,bangalore,Electronics,2448.48,1,2023-12-31,2024-01-06,F
5,Customer,Delhi,Clothing,2774.54,3,2023-06-11,2023-06-20,Male
6,Sneha,Pune,Home & Kitchen,1032.59,5,2023-08-18,2023-08-25,Female
7,Deepak,Delhi,Sports,5966.6,6,2023-12-25,2023-12-31,Male
8,Customer,Pune,Electronics,4012.34,8,2023-12-15,2023-12-22,Male
9,Pooja,chennai,Electronics,5012.37,4,2023-01-04,2023-01-13,Female
10,Neha,Hyderabad,Home & Kitchen,1781.23,1,2023-12-27,2024-01-04,Female
11,Rohit,Hyderabad,Clothing,6525.7,9,2023-03-19,2023-03-24,Male
12,PRIYA,Bangalore,Sports,6228.29,3,2023-06-01,2023-06-05,Female
13,AMIT,Bangalore,Electronics,2721.37,8,2023-12-24,2023-12-31,Male
14,SANJAY,Chennai,Electronics,4707.63,4,2023-04-26,2023-05-03,M
15,Karan,Kolkata,Clothing,,3,2023-12-20,2023-12-29,M
16,AMIT,Kolkata,Home & Kitchen,7757.64,3,2023-02-05,2023-02-09,M
17,Rahul,,Books,2346.74,4,2023-12-01,2023-12-10,Male
18,SANJAY,hyderabad,Home & Kitchen,8800.66,4,2023-10-18,2023-10-27,Male
19,SANJAY,Delhi,Electronics,766.4,7,2023-10-12,2023-10-17,Male
20,VARUN,Kolkata,Electronics,4197.89,2,2023-02-05,2023-02-13,Male
21,Vikas,Mumbai,Sports,893.17,8,2023-11-20,2023-11-24,M
22,Nisha,Chennai,Home & Kitchen,9249.72,2,2023-02-24,2023-03-02,Female
23,Meena,Kolkata,Books,502.95,1,2023-02-18,2023-02-23,F
24,Meena,Mumbai,Sports,1597.28,8,2023-11-09,2023-11-16,F
25,Deepak,Kolkata,Books,9158.9,4,2023-12-21,2023-12-27,Male
26,SANJAY,Delhi,Sports,5863.36,6,2023-12-09,2023-12-18,M
27,SIMRAN,Delhi,Home & Kitchen,7972.36,1,2023-02-24,2023-03-04,Female
28,Priya,Kolkata,Electronics,262.43,3,2023-11-08,2023-11-12,F
29,Arjun,mumbai,Books,4249.04,7,2023-11-26,2023-12-01,Male
30,DEEPAK,,Home & Kitchen,9846.21,7,2023-09-17,2023-09-24,M
31,Sneha,mumbai,Books,5840.21,8,2023-12-31,2024-01-06,F
32,ANJALI,Chennai,Home & Kitchen,8511.86,2,2023-05-10,2023-05-18,Female
33,SNEHA,kolkata,Sports,9639.24,7,2023-03-29,2023-04-04,Female
34,KAVITA,Chennai,Home & Kitchen,6881.9,4,2023-11-16,2023-11-20,Female
35,NEHA,Bangalore,Sports,3343.54,6,2023-12-06,2023-12-13,F
36,Akash,hyderabad,Electronics,3155.21,4,2023-09-27,2023-10-04,M
37,Kavita,Pune,Sports,805.65,9,2023-12-26,2024-01-04,Female
38,Anjali,hyderabad,Clothing,4334.94,1,2023-12-27,2023-12-31,Female
39,Amit,Delhi,Electronics,9162.36,1,2023-05-06,2023-05-12,M
40,Simran,Bangalore,Home & Kitchen,4832.82,5,2023-11-23,2023-11-28,Female
41,MEENA,Hyderabad,Home & Kitchen,9118.85,5,2023-07-04,2023-07-09,Female
42,Sneha,Kolkata,Clothing,8189.71,8,2023-12-31,2024-01-04,Female
43,Sanjay,Chennai,Home & Kitchen,9843.45,7,2023-01-30,2023-02-04,M
44,ROHIT,Chennai,Electronics,9482.18,3,2023-07-27,2023-08-02,M
45,Meena,Mumbai,Electronics,7094.18,8,2023-01-08,2023-01-13,F
46,PRIYA,Mumbai,Sports,8725.05,4,2023-05-22,2023-05-26,Female
47,Akash,chennai,Books,7505.97,3,2023-10-31,2023-11-04,Male
48,Varun,Kolkata,Home & Kitchen,7063.61,2,2023-07-31,2023-08-06,Male
49,Neha,Chennai,Clothing,7184.04,9,2023-10-11,2023-10-17,F
50,Kavita,mumbai,Electronics,7238.33,7,2023-05-12,2023-05-18,F
51,ROHIT,Hyderabad,Electronics,3856.25,5,2023-12-22,2023-12-29,Male
52,Neha,Delhi,Electronics,4293.27,9,2023-11-19,2023-11-25,Female
53,AMIT,Mumbai,Books,3011.3,3,2023-04-12,2023-04-16,Male
54,KARAN,kolkata,Books,1567.78,6,2023-10-10,2023-10-17,M
55,Vikas,Hyderabad,Home & Kitchen,4638.59,8,2023-03-16,2023-03-25,M
56,NEHA,Hyderabad,Clothing,9009.5,9,2023-04-10,2023-04-15,F
57,Kavita,hyderabad,Books,6547.52,4,2023-08-20,2023-08-26,Female
58,SANJAY,Bangalore,Sports,656.19,1,2023-10-18,2023-10-25,M
59,Amit,bangalore,Books,8130.88,8,2023-08-24,2023-08-29,Male
60,Vikas,Pune,Electronics,9360.48,3,2023-09-26,2023-10-02,M
61,Neha,Hyderabad,Clothing,8311.28,6,2023-02-24,2023-03-01,Female
62,Akash,kolkata,Home & Kitchen,7302.66,4,2023-09-11,2023-09-15,M
63,Nisha,Chennai,Books,1586.19,6,2023-08-03,2023-08-11,Female
64,MEENA,Kolkata,Electronics,3555.1,3,2023-10-26,2023-10-30,Female
65,Rohit,Bangalore,Sports,5696.34,7,2023-11-25,2023-12-02,Male
66,Akash,mumbai,Sports,860.92,2,2023-11-20,2023-11-29,Male
67,Rohit,Pune,Home & Kitchen,1152.08,5,2023-10-26,2023-11-02,Male
68,Nisha,bangalore,Home & Kitchen,9349.11,3,2023-10-23,2023-10-27,Female
69,Riya,Chennai,Books,7056.64,5,2023-06-08,2023-06-17,Female
70,Kavita,Delhi,Home & Kitchen,2823.36,3,2023-09-16,2023-09-20,Female
71,MEENA,Pune,Electronics,3340.87,9,2023-08-16,2023-08-25,F
72,RIYA,Bangalore,Electronics,3905.85,8,2023-05-25,2023-05-30,F
73,Anjali,Kolkata,Electronics,843.21,2,2023-03-21,2023-03-30,Female
74,Meena,pune,Books,7417.85,8,2023-02-08,2023-02-17,F
75,Riya,Kolkata,Books,1850.66,8,2023-07-13,2023-07-21,F
76,Rahul,hyderabad,Home & Kitchen,8070.69,3,2023-07-16,2023-07-21,M
77,Sneha,Hyderabad,Books,8474.14,5,2023-04-07,2023-04-12,F
78,Anjali,hyderabad,Electronics,6420.5,2,2023-09-03,2023-09-07,Female
79,RAHUL,Pune,Clothing,7721.56,6,2023-11-29,2023-12-03,M
80,Sanjay,Delhi,Electronics,1801.17,2,2023-03-17,2023-03-24,Male
81,ROHIT,chennai,Clothing,5801.8,4,2023-09-10,2023-09-18,Male
82,Pooja,Pune,Home & Kitchen,6800.31,3,2023-10-05,2023-10-09,F
83,DEEPAK,mumbai,Sports,6649.45,1,2023-01-08,2023-01-12,Male
84,VARUN,kolkata,Books,1261.17,8,2023-12-30,2024-01-05,M
85,Rohit,Kolkata,Books,3509.39,8,2023-07-18,2023-07-26,Male
86,PRIYA,Pune,Electronics,3317.87,1,2023-09-09,2023-09-18,F
87,PRIYA,Pune,Electronics,5768.02,6,2023-01-18,2023-01-25,Female
88,Rahul,Chennai,Clothing,7675.85,1,2023-08-30,2023-09-05,Male
89,Arjun,Delhi,Books,,9,2023-09-10,2023-09-16,Male
90,Vikas,pune,Home & Kitchen,7572.79,1,2023-01-04,2023-01-10,Male
91,Sneha,Hyderabad,Electronics,1079.78,3,2023-08-25,2023-08-31,F
92,Anjali,chennai,Books,8793.57,9,2023-06-28,2023-07-05,Female
93,SNEHA,,Sports,5412.51,1,2023-01-12,2023-01-20,Female
94,Anjali,hyderabad,Clothing,471.24,2,2023-10-20,2023-10-26,Female
95,Rohit,Mumbai,Electronics,6467.81,4,2023-09-15,2023-09-24,M
96,Sanjay,bangalore,Electronics,5221.74,7,2023-09-16,2023-09-22,M
97,Amit,Mumbai,Home & Kitchen,2281.66,8,2023-03-26,2023-04-03,M
98,Rahul,hyderabad,Electronics,7667.81,1,2023-10-22,2023-10-29,M
99,Nisha,bangalore,Books,9342.33,1,2023-11-29,2023-12-03,F
100,Arjun,Hyderabad,Books,3294.57,5,2023-04-22,2023-05-01,Male
101,PRIYA,kolkata,Books,4989.77,8,2023-07-25,2023-07-31,F
102,Sanjay,hyderabad,Sports,1368.93,1,2023-08-10,2023-08-16,M
103,ROHIT,Bangalore,Sports,9305.02,3,2023-01-18,2023-01-27,Male
104,PRIYA,Mumbai,Electronics,3256.08,6,2023-01-13,2023-01-18,Female
105,RAHUL,Kolkata,Sports,2028.37,1,2023-09-27,2023-10-01,M
106,PRIYA,Delhi,Sports,4836.44,3,2023-02-10,2023-02-16,F
107,Arjun,Delhi,Home & Kitchen,528.5,1,2023-02-09,2023-02-18,Male
108,Meena,Delhi,Sports,2603.08,4,2023-03-30,2023-04-07,Female
109,Akash,Delhi,Clothing,769.81,9,2023-04-11,2023-04-16,Male
110,Priya,Chennai,Clothing,1360.97,5,2023-08-07,2023-08-15,Female
111,Rahul,Delhi,Clothing,1210.36,3,2023-08-03,2023-08-07,Male
112,Arjun,,Electronics,8736.96,7,2023-10-31,2023-11-09,Male
113,Akash,pune,Books,9311.3,6,2023-01-10,2023-01-16,M
114,SNEHA,delhi,Home & Kitchen,4797.77,9,2023-08-05,2023-08-09,F
115,Anjali,hyderabad,Electronics,6341.13,4,2023-05-01,2023-05-07,Female
116,MEENA,Pune,Books,6989.43,4,2023-11-06,2023-11-14,Female
117,Meena,delhi,Home & Kitchen,3974.0,9,2023-06-12,2023-06-16,Female
118,Vikas,pune,Home & Kitchen,3765.08,2,2023-06-01,2023-06-05,Male
119,RIYA,mumbai,Home & Kitchen,6788.13,2,2023-11-01,2023-11-06,F
120,Deepak,Bangalore,Clothing,3829.47,9,2023-03-25,2023-03-29,Male
121,SNEHA,Bangalore,Clothing,5851.99,7,2023-07-21,2023-07-27,Female
122,Varun,Pune,Clothing,5200.41,5,2023-02-19,2023-02-25,Male
123,Simran,Kolkata,Home & Kitchen,5292.16,5,2023-05-29,2023-06-06,Female
124,Neha,Chennai,Home & Kitchen,8310.65,9,2023-08-08,2023-08-13,Female
125,Arjun,Hyderabad,Clothing,7070.17,5,2023-06-04,2023-06-12,Male
126,SNEHA,pune,Home & Kitchen,9610.76,9,2023-04-07,2023-04-12,F
127,RIYA,bangalore,Clothing,7930.67,8,2023-11-20,2023-11-26,F
128,Meena,Mumbai,Clothing,1543.35,6,2023-04-09,2023-04-14,F
129,Pooja,delhi,Clothing,7410.98,5,2023-12-06,2023-12-12,Female
130,Neha,Bangalore,Books,6689.91,5,2023-07-05,2023-07-09,F
